Dataset;Training Accuracy;Test Accuracy;Training F1;Test F1;Training Accuracy K = 100;Test Accuracy K = 100;Training F1 K = 100;Test F1 K = 100;Training Accuracy K = 1000;Test Accuracy K = 1000;Training F1 K = 1000;Test F1 K = 1000;Training Accuracy K = 10000;Test Accuracy K = 10000;Training F1 K = 10000;Test F1 K = 10000
OliveOil;1.0;0.8883333333333332;1.0;0.7825925954182942;1.0;0.4683333333333333;1.0;0.3188888916373253;1.0;0.5133333333333333;1.0;0.3561111149191857;1.0;0.44833333333333336;1.0;0.31092592736085256
OSULeaf;0.7218749970197678;0.4425029505629185;0.6292767882347107;0.3449240955685781;0.9927083343267441;0.5824232562268076;0.9895238071680069;0.4822253977956851;1.0;0.6589433276948851;1.0;0.566968509678013;1.0;0.6510182990515527;1.0;0.5642133722127962
NonInvasiveFetalECGThorax2;0.999330359697342;0.9308480438203302;0.9989335358142852;0.885477372453413;0.9857142895460129;0.7422212492418654;0.9747987598180771;0.6181994013931915;1.0;0.8291037874792065;1.0;0.7316747497056277;1.0;0.7768518758123462;1.0;0.6615564505805194
NonInvasiveFetalECGThorax1;1.0;0.9076905310912291;1.0;0.8472437402856259;0.9899553537368775;0.6920057987742145;0.9829249948263168;0.5623231858030228;1.0;0.795226342117557;1.0;0.6919133994624803;1.0;0.7251032454973566;1.0;0.5987925680478414
MoteStrain;875;0.8482371807098389;0.8895238161087036;0.7218681246042251;1.0;0.6600961551070214;1.0;0.5890262603759766;1.0;0.7049679398536682;1.0;0.6131959795951843;1.0;0.7059294909238816;1.0;0.6326953619718552
MixedShapesSmallTrain;0.9916666626930237;0.7923312787960485;0.9862380951642991;0.529849805418978;0.9979166656732559;0.7004854978040321;0.9980158716440201;0.45740071496275286;1.0;0.7588272170135656;1.0;0.522399006617438;1.0;0.734908590552733;1.0;0.4901085247501885
MixedShapesRegularTrain;0.9225000023841858;0.8222563510678479;0.8947928577661515;0.585938325818052;0.9862500041723251;0.8435843240944381;0.9807037055492401;0.613371092334236;1.0;0.9015861153356808;1.0;0.7134642367068026;1.0;0.8906676228660898;1.0;0.6910446533714373
MiddlePhalanxTW;0.6941677119498861;0.6739042207792207;0.5124846506835823;0.49954597884184354;0.954140555739104;0.5727272727272726;0.9181931946211889;0.4145336682533289;1.0;0.5396915584415584;1.0;0.3726114974393473;1.0;0.5226055194805195;1.0;0.358833991784554
MiddlePhalanxOutlineCorrect;0.8024305492639542;0.6262123044004145;0.8460424304008484;0.7081185663278979;0.8576388865709305;0.6798110018481094;0.8846382677555085;0.7181584150520797;1.0;0.7373234058573483;1.0;0.7352873423664841;1.0;0.7525868605502283;1.0;0.7656088845426684
MiddlePhalanxOutlineAgeGroup;0.839583334326744;0.590625;0.7337345212697983;0.37698329934826147;0.9526041716337204;0.5965909090909091;0.930855855345726;0.3952067158438942;1.0;0.5538961038961039;1.0;0.3583392120801009;1.0;0.517978896103896;1.0;0.3471718294860481
MelbournePedestrian;0.8401925150373672;0.830184526935177;0.7688416996892772;0.6519182722360299;0.9809130126906799;0.841536513886133;0.9685475682693111;0.5921673723643508;1.0;0.906251894132482;1.0;0.7167574034845697;1.0;0.8849542019894104;1.0;0.6742029192898301
MedicalImages;0.6620078670384064;0.530434787273407;0.5189993878987831;0.37179042398929596;0.8780422408436853;0.5467391327023506;0.8279625790951447;0.37832059115171435;1.0;0.5934782534837723;1.0;0.43746383488178253;1.0;0.5608695715665817;1.0;0.3998608931899071
Meat;1.0;0.99375;1.0;0.9927272737026215;1.0;0.6875;1.0;0.4983068749308586;1.0;0.70625;1.0;0.5543518498539924;1.0;0.69375;1.0;0.5454545438289642
Mallat;1.0;0.7234547388833215;1.0;0.6243741107037835;1.0;0.4010182002180421;1.0;0.29183826702998394;1.0;0.44801413532259116;1.0;0.32894489730471993;1.0;0.43003592763882453;1.0;0.31669573681186763
Lightning7;0.9839285714285714;0.6726027397260275;0.9773714286940438;0.5378421395608824;0.9967857142857143;0.4541095890410959;0.9972571424075536;0.3186805805523102;1.0;0.49811643835616437;1.0;0.3277375522541673;1.0;0.5159246575342465;1.0;0.3491587318786203
Lightning2;0.98125;0.6934426229508196;0.9860528379678726;0.7538900046074977;0.93125;0.6348360655737705;0.9389063775539398;0.7464535606689141;1.0;0.6557377049180327;1.0;0.7470539986110125;1.0;0.6639344262295082;1.0;0.7429322182155047
LargeKitchenAppliances;0.9506424176851908;0.481842423693339;0.9409880597750345;0.3273050513267517;0.8641636377334594;0.718193942896525;0.8302798349698385;0.4408583471457163;1.0;0.7664424293835957;1.0;0.46973619496027624;1.0;0.7664666687965392;1.0;0.48770437326431265
